epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,31632.3,1.43366,2.01622,1.28096,0.00893,1.19627,0.45986,0.39066,0.35869,0.19985,0.48595,0.3819,0.35329,0.16663,1.81074,3.07272,2.28525,0.01606,0,0.0008912,0.0008912,0.0008912
58,32129.5,1.44472,2.01412,1.26231,0.00889,1.11963,0.46049,0.4015,0.34297,0.18324,0.43761,0.38155,0.32489,0.15752,1.83699,3.15048,2.37016,0.01668,0,0.0008714,0.0008714,0.0008714
59,32626.4,1.44283,2.06489,1.27192,0.00938,1.18324,0.42088,0.399,0.32625,0.17866,0.43133,0.34804,0.30792,0.1514,1.83775,3.03221,2.3878,0.01637,0,0.0008516,0.0008516,0.0008516
60,33123.4,1.39214,1.98507,1.25483,0.0092,1.1567,0.41163,0.41147,0.34538,0.1863,0.38898,0.4015,0.32041,0.15465,1.79964,3.08918,2.32991,0.01585,0,0.0008318,0.0008318,0.0008318
61,33618.3,1.40958,2.01293,1.26741,0.00893,1.17526,0.45706,0.40306,0.36739,0.19315,0.4598,0.39693,0.3527,0.16875,1.86185,3.08642,2.26786,0.01652,0,0.000812,0.000812,0.000812
62,34115,1.41575,2.03155,1.23101,0.00908,1.1132,0.45636,0.38653,0.33537,0.18032,0.47245,0.35661,0.32658,0.1557,1.81486,3.04725,2.43543,0.01588,0,0.0007922,0.0007922,0.0007922
63,34611.6,1.37814,1.98614,1.18462,0.00876,1.09171,0.45865,0.39651,0.35464,0.18918,0.45221,0.38155,0.35633,0.16371,1.79587,3.14935,2.3927,0.01622,0,0.0007724,0.0007724,0.0007724
64,35107,1.40681,1.96921,1.19353,0.00859,1.0857,0.49815,0.36409,0.3596,0.19402,0.45409,0.39152,0.35559,0.15918,1.83348,3.18779,2.33045,0.01627,0,0.0007526,0.0007526,0.0007526
65,35603.7,1.36232,1.96083,1.19117,0.00855,1.10911,0.50105,0.37905,0.33411,0.17358,0.48906,0.36999,0.32205,0.14058,1.8255,3.20481,2.36732,0.01632,0,0.0007328,0.0007328,0.0007328
66,36101.3,1.34511,1.92544,1.15112,0.00861,1.09104,0.42207,0.4015,0.34235,0.18229,0.42743,0.39401,0.33556,0.14989,1.78252,3.01911,2.40369,0.01612,0,0.000713,0.000713,0.000713
67,36598.9,1.35293,1.93271,1.1583,0.0088,1.08195,0.43082,0.39152,0.35543,0.18187,0.46441,0.34814,0.33998,0.15115,1.79857,3.09938,2.3362,0.01585,0,0.0006932,0.0006932,0.0006932
68,37097.1,1.35205,1.94138,1.14522,0.00834,0.97819,0.43716,0.39152,0.34315,0.19016,0.46279,0.37157,0.33876,0.15771,1.86857,3.16746,2.32958,0.01695,0,0.0006734,0.0006734,0.0006734
69,37596.4,1.33691,1.95114,1.14703,0.00841,1.01274,0.44595,0.41895,0.33928,0.18273,0.45361,0.42027,0.34114,0.16465,1.90172,3.23622,2.39953,0.01721,0,0.0006536,0.0006536,0.0006536
70,38095.1,1.35319,1.89393,1.12801,0.00796,0.98492,0.52784,0.34414,0.34048,0.18655,0.52784,0.34414,0.33122,0.15435,1.87479,3.11387,2.40437,0.01674,0,0.0006338,0.0006338,0.0006338
71,38595.2,1.35738,1.94776,1.14144,0.00844,1.0235,0.39997,0.39651,0.33037,0.172,0.45082,0.36234,0.33024,0.15402,1.87317,3.13061,2.38676,0.01708,0,0.000614,0.000614,0.000614
72,39098.5,1.34125,1.92834,1.08495,0.00877,0.93723,0.47549,0.38653,0.35225,0.18944,0.47856,0.38903,0.34677,0.16644,1.79129,3.05346,2.36081,0.01587,0,0.0005942,0.0005942,0.0005942
73,39597.8,1.31209,1.86069,1.07679,0.00823,0.96452,0.50753,0.399,0.348,0.18991,0.50214,0.37476,0.33764,0.15799,1.84383,3.20915,2.4295,0.01659,0,0.0005744,0.0005744,0.0005744
74,40094.2,1.36832,1.89051,1.09772,0.00844,0.94537,0.47223,0.40399,0.35328,0.19302,0.45892,0.38283,0.34,0.1637,1.85747,3.25269,2.31647,0.01678,0,0.0005546,0.0005546,0.0005546
